epoch	loss	acc	val_loss	val_acc
0	0.704727	0.499000	0.691114	0.500000
1	0.691685	0.506500	0.688443	0.500000
2	0.688640	0.526500	0.671579	0.617500
3	0.658112	0.599000	0.610714	0.647500
4	0.641339	0.622500	0.594549	0.671250
5	0.618283	0.651000	0.553601	0.728750
6	0.600693	0.675000	0.575428	0.680000
7	0.575744	0.695000	0.529654	0.731250
8	0.567918	0.702000	0.540602	0.735000
9	0.553253	0.720500	0.500445	0.748750
