epoch	loss	acc	val_loss	val_acc
0	0.729070	0.549500	0.600591	0.713750
1	0.598115	0.686500	0.532479	0.778750
2	0.539884	0.742000	0.491395	0.805000
3	0.490748	0.775500	0.464849	0.810000
4	0.470654	0.793500	0.441100	0.822500
5	0.455404	0.802500	0.427041	0.825000
6	0.440596	0.801500	0.408699	0.841250
7	0.419942	0.822000	0.397495	0.842500
8	0.412148	0.825500	0.388280	0.845000
9	0.396592	0.832500	0.377990	0.855000
